2020-10-27 12:21:54 [                          main] ClassPathXmlApplicationContext DEBUG Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@79da8dc5
2020-10-27 12:21:55 [                          main] DefaultComponentResolver       DEBUG Found component: netty via type: org.apache.camel.component.netty.NettyComponent via: META-INF/services/org/apache/camel/component/netty
2020-10-27 12:21:55 [                          main] NettyComponent                 DEBUG Discovered component property configurer: netty -> org.apache.camel.component.netty.NettyComponentConfigurer@d4ab71a
2020-10-27 12:21:55 [                          main] NettyComponent                 DEBUG Discovered endpoint property configurer: netty -> org.apache.camel.component.netty.NettyEndpointConfigurer@5bbbdd4b
2020-10-27 12:21:55 [                          main] InternalLoggerFactory          DEBUG Using SLF4J as the default logging framework
2020-10-27 12:21:55 [                          main] InternalThreadLocalMap         DEBUG -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
2020-10-27 12:21:55 [                          main] InternalThreadLocalMap         DEBUG -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
2020-10-27 12:21:55 [                          main] NettyComponent                 DEBUG Creating endpoint uri=[netty://tcp://localhost:4209?allowDefaultCodec=false&sync=false], path=[tcp://localhost:4209]
2020-10-27 12:21:55 [                          main] NettyConfiguration             DEBUG No encoders and decoders will be used
2020-10-27 12:21:55 [                          main] SpringCamelContext             DEBUG netty://tcp://localhost:4209?allowDefaultCodec=false&sync=false converted to endpoint: netty://tcp://localhost:4209?allowDefaultCodec=false&sync=false by component: org.apache.camel.component.netty.NettyComponent@595f4da5
2020-10-27 12:21:55 [                          main] DefaultChannel                 DEBUG Initialize channel for target: 'process[Processor@0x1da6ee17]'
2020-10-27 12:21:55 [                          main] SpringCamelContext             DEBUG Using ComponentResolver: org.apache.camel.impl.engine.DefaultComponentResolver@530a8454 to resolve component with name: log
2020-10-27 12:21:55 [                          main] ResolverHelper                 DEBUG Lookup Component with name log in registry. Found: null
2020-10-27 12:21:55 [                          main] ResolverHelper                 DEBUG Lookup Component with name log-component in registry. Found: null
2020-10-27 12:21:55 [                          main] DefaultComponentResolver       DEBUG Found component: log via type: org.apache.camel.component.log.LogComponent via: META-INF/services/org/apache/camel/component/log
2020-10-27 12:21:55 [                          main] LogComponent                   DEBUG Discovered component property configurer: log -> org.apache.camel.component.log.LogComponentConfigurer@5a4ed68f
2020-10-27 12:21:55 [                          main] LogComponent                   DEBUG Discovered endpoint property configurer: log -> org.apache.camel.component.log.LogEndpointConfigurer@1fd386c3
2020-10-27 12:21:55 [                          main] LogComponent                   DEBUG Creating endpoint uri=[log://?level=DEBUG&showBody=true], path=[]
2020-10-27 12:21:55 [                          main] SpringCamelContext             DEBUG log://?level=DEBUG&showBody=true converted to endpoint: log://?level=DEBUG&showBody=true by component: org.apache.camel.component.log.LogComponent@377c68c6
2020-10-27 12:21:55 [                          main] DefaultChannel                 DEBUG Initialize channel for target: 'To[log:?level=DEBUG&showBody=true]'
2020-10-27 12:21:55 [                          main] JmsComponent                   DEBUG Creating endpoint uri=[jms://queue:VdoxxQueue], path=[queue:VdoxxQueue]
2020-10-27 12:21:55 [                          main] SpringCamelContext             DEBUG jms://queue:VdoxxQueue converted to endpoint: jms://queue:VdoxxQueue by component: org.apache.camel.component.jms.JmsComponent@46044faa
2020-10-27 12:21:55 [                          main] DefaultChannel                 DEBUG Initialize channel for target: 'To[jms:queue:VdoxxQueue]'
2020-10-27 12:21:55 [                          main] DefaultChannel                 DEBUG Initialize channel for target: 'To[log:?level=DEBUG&showBody=true]'
2020-10-27 12:21:55 [                          main] ResolverHelper                 DEBUG Lookup Language with name constant in registry. Found: null
2020-10-27 12:21:55 [                          main] ResolverHelper                 DEBUG Lookup Language with name constant-language in registry. Found: null
2020-10-27 12:21:56 [                          main] DefaultChannel                 DEBUG Initialize channel for target: 'SetHeader[CamelHttpMethod, POST]'
2020-10-27 12:21:56 [                          main] DefaultChannel                 DEBUG Initialize channel for target: 'SetHeader[Content-Type, application/json]'
2020-10-27 12:21:56 [                          main] SpringCamelContext             DEBUG Using ComponentResolver: org.apache.camel.impl.engine.DefaultComponentResolver@530a8454 to resolve component with name: http
2020-10-27 12:21:56 [                          main] ResolverHelper                 DEBUG Lookup Component with name http in registry. Found: null
2020-10-27 12:21:56 [                          main] ResolverHelper                 DEBUG Lookup Component with name http-component in registry. Found: null
2020-10-27 12:21:56 [                          main] DefaultComponentResolver       DEBUG Found component: http via type: org.apache.camel.component.http.HttpComponent via: META-INF/services/org/apache/camel/component/http
2020-10-27 12:21:56 [                          main] HttpComponent                  DEBUG Discovered component property configurer: http -> org.apache.camel.component.http.HttpComponentConfigurer@547c04c4
2020-10-27 12:21:56 [                          main] HttpComponent                  DEBUG Discovered endpoint property configurer: http -> org.apache.camel.component.http.HttpEndpointConfigurer@46baf579
2020-10-27 12:21:56 [                          main] HttpComponent                  DEBUG Creating endpoint uri=[http://localhost/html5/vdoxx/rfidscan/simulateRFIDScan.htm?mode=12], path=[localhost/html5/vdoxx/rfidscan/simulateRFIDScan.htm]
2020-10-27 12:21:56 [                          main] HttpComponent                  DEBUG Creating endpoint uri http://localhost/html5/vdoxx/rfidscan/simulateRFIDScan.htm?mode=12
2020-10-27 12:21:56 [                          main] HttpComponent                  INFO  Created ClientConnectionManager org.apache.http.impl.conn.PoolingHttpClientConnectionManager@c3fa05a
2020-10-27 12:21:56 [                          main] SpringCamelContext             DEBUG http://localhost/html5/vdoxx/rfidscan/simulateRFIDScan.htm?mode=12 converted to endpoint: http://localhost/html5/vdoxx/rfidscan/simulateRFIDScan.htm?mode=12 by component: org.apache.camel.component.http.HttpComponent@6a84bc2a
2020-10-27 12:21:56 [                          main] DefaultChannel                 DEBUG Initialize channel for target: 'To[http://localhost/html5/vdoxx/rfidscan/simulateRFIDScan.htm?mode=12]'
2020-10-27 12:21:56 [                          main] SpringCamelContext             INFO  StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-10-27 12:21:56 [                          main] HeadersMapFactoryResolver      DEBUG Creating default HeadersMapFactory
2020-10-27 12:21:56 [                          main] SpringCamelContext             DEBUG Using HeadersMapFactory: org.apache.camel.impl.engine.DefaultHeadersMapFactory@11653e3b
2020-10-27 12:21:56 [                          main] SpringCamelContext             DEBUG Using ReactiveExecutor: org.apache.camel.impl.engine.DefaultReactiveExecutor@715fb77
2020-10-27 12:21:56 [                          main] SpringCamelContext             DEBUG Warming up route id: route1 having autoStartup=true
2020-10-27 12:21:56 [                          main] RouteService                   DEBUG Starting services on route: route1
2020-10-27 12:21:56 [                          main] RouteService                   DEBUG Starting child service on route: route1 -> Pipeline[[Channel[DelegateSync[com.javax4u.camel.MyProcessor@1da6ee17]], Channel[sendTo(log://?level=DEBUG&showBody=true)], Channel[sendTo(jms://queue:VdoxxQueue)]]]
2020-10-27 12:21:56 [                          main] LogProducer                    DEBUG Starting producer: Producer[log://?level=DEBUG&showBody=true]
2020-10-27 12:21:56 [                          main] JmsProducer                    DEBUG Starting producer: Producer[jms://queue:VdoxxQueue]
2020-10-27 12:21:56 [                          main] RouteService                   DEBUG Starting child service on route: route1 -> Pipeline[[Channel[DelegateSync[com.javax4u.camel.MyProcessor@1da6ee17]], Channel[sendTo(log://?level=DEBUG&showBody=true)], Channel[sendTo(jms://queue:VdoxxQueue)]]]
2020-10-27 12:21:56 [                          main] RouteService                   DEBUG Starting child service on route: route1 -> DelegateSync[com.javax4u.camel.MyProcessor@1da6ee17]
2020-10-27 12:21:56 [                          main] RouteService                   DEBUG Starting child service on route: route1 -> Channel[DelegateSync[com.javax4u.camel.MyProcessor@1da6ee17]]
2020-10-27 12:21:56 [                          main] RouteService                   DEBUG Starting child service on route: route1 -> sendTo(log://?level=DEBUG&showBody=true)
2020-10-27 12:21:56 [                          main] RouteService                   DEBUG Starting child service on route: route1 -> Channel[sendTo(log://?level=DEBUG&showBody=true)]
2020-10-27 12:21:56 [                          main] RouteService                   DEBUG Starting child service on route: route1 -> sendTo(jms://queue:VdoxxQueue)
2020-10-27 12:21:56 [                          main] RouteService                   DEBUG Starting child service on route: route1 -> Channel[sendTo(jms://queue:VdoxxQueue)]
2020-10-27 12:21:56 [                          main] SpringCamelContext             DEBUG Warming up route id: route2 having autoStartup=true
2020-10-27 12:21:56 [                          main] RouteService                   DEBUG Starting services on route: route2
2020-10-27 12:21:56 [                          main] JmsQueueEndpoint               DEBUG Using destinationName: VdoxxQueue on listenerContainer: org.apache.camel.component.jms.DefaultJmsMessageListenerContainer@f973499
2020-10-27 12:21:56 [                          main] BaseExecutorServiceManager     DEBUG Created new CachedThreadPool for source: Consumer[jms://queue:VdoxxQueue] with name: JmsConsumer[VdoxxQueue]. -> java.util.concurrent.ThreadPoolExecutor@1c025cb[Running, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0]
2020-10-27 12:21:56 [                          main] RouteService                   DEBUG Starting child service on route: route2 -> Pipeline[[Channel[sendTo(log://?level=DEBUG&showBody=true)], Channel[SetHeader(CamelHttpMethod, POST)], Channel[SetHeader(Content-Type, application/json)], Channel[sendTo(http://localhost/html5/vdoxx/rfidscan/simulateRFIDScan.htm?mode=12)]]]
2020-10-27 12:21:56 [                          main] LogProducer                    DEBUG Starting producer: Producer[log://?level=DEBUG&showBody=true]
2020-10-27 12:21:56 [                          main] HttpEndpoint                   DEBUG Setup the HttpClientBuilder org.apache.http.impl.client.HttpClientBuilder@29314cc9
2020-10-27 12:21:57 [                          main] HttpProducer                   DEBUG Starting producer: Producer[http://localhost/html5/vdoxx/rfidscan/simulateRFIDScan.htm?mode=12]
2020-10-27 12:21:57 [                          main] RouteService                   DEBUG Starting child service on route: route2 -> Pipeline[[Channel[sendTo(log://?level=DEBUG&showBody=true)], Channel[SetHeader(CamelHttpMethod, POST)], Channel[SetHeader(Content-Type, application/json)], Channel[sendTo(http://localhost/html5/vdoxx/rfidscan/simulateRFIDScan.htm?mode=12)]]]
2020-10-27 12:21:57 [                          main] RouteService                   DEBUG Starting child service on route: route2 -> sendTo(log://?level=DEBUG&showBody=true)
2020-10-27 12:21:57 [                          main] RouteService                   DEBUG Starting child service on route: route2 -> Channel[sendTo(log://?level=DEBUG&showBody=true)]
2020-10-27 12:21:57 [                          main] RouteService                   DEBUG Starting child service on route: route2 -> SetHeader(CamelHttpMethod, POST)
2020-10-27 12:21:57 [                          main] RouteService                   DEBUG Starting child service on route: route2 -> Channel[SetHeader(CamelHttpMethod, POST)]
2020-10-27 12:21:57 [                          main] RouteService                   DEBUG Starting child service on route: route2 -> SetHeader(Content-Type, application/json)
2020-10-27 12:21:57 [                          main] RouteService                   DEBUG Starting child service on route: route2 -> Channel[SetHeader(Content-Type, application/json)]
2020-10-27 12:21:57 [                          main] RouteService                   DEBUG Starting child service on route: route2 -> sendTo(http://localhost/html5/vdoxx/rfidscan/simulateRFIDScan.htm?mode=12)
2020-10-27 12:21:57 [                          main] RouteService                   DEBUG Starting child service on route: route2 -> Channel[sendTo(http://localhost/html5/vdoxx/rfidscan/simulateRFIDScan.htm?mode=12)]
